session_code,session_title,repeat,abstract,type,speakers,start_time,end_time,venue,room
AIM420,Detect Anomalies Using Amazon SageMaker,-,"For a wide variety of metrics—including business metrics, application metrics, and low-level software and hardware metrics—it is critical to detect abnormalities to ensure that you end up with the right data. In this chalk talk, learn about the Random Cut Forest algorithm built into Amazon SageMaker in order to detect anomalies. We dive deep into detecting anomalies and tuning data in order to find practical solutions.",Chalk Talk,Denis V. Batalov,2018-11-28 18:15:00,2018-11-28 19:15:00,Aria East,"Level 2, Mariposa 8, T2"
API401,[REPEAT 3] Manage Long-Lived Transactions with AWS Step Functions,3,"AWS Step Functions is a fully-managed serverless workflow-management service. Using visual workflows, you can easily manage long-running processes and coordinate the components of distributed applications and microservices through visual workflows. Join us to learn how you can use Step Functions to implement the Saga design pattern, which is particularly useful for dealing with the complexities of a long-lived transaction that spans across distributed components in a microservices architecture. You need your own laptop with administrator privileges, both the AWS CLI and AWS SAM CLI installed, and an active AWS account with power user access.",Builders Session,Stephen Liedig,2018-11-29 11:30:00,2018-11-29 12:30:00,Aria West,"Level 3, Starvine 3, Table 8, T1"
SRV306,"[REPEAT 1] Managing Identity Management, Authentication, and Authorization for Serverless Applications",1,"In this session, you build a microservices-based application demonstrating end-to-end authentication and authorization through use of Amazon Cognito, Amazon API Gateway, and Application Load Balancer turn-key authorization, AWS Lambda, and all things IAM. You build an end-to-end functional app with a secure identity provider and identity federation showcasing end-user auth patterns, as well as service-to-service auth capabilities.",Workshop,"Kyle Somers,Stefano Buliani,Lia Vader,Justin Pirtle",2018-11-29 12:15:00,2018-11-29 14:30:00,Venetian,"Level 4, Lando 4205, T2"
AIM405,[REPEAT] Better Analytics Through Natural Language Processing,0,"Natural language processing holds the key to unlocking business value from unstructured data. Organizations that implement effective data analysis methods gain a competitive advantage through improved decision-making, risk reduction, or enhanced customer experience. In this session, learn how to easily process, analyze, and visualize data by pairing Amazon Comprehend with services like Amazon Relational Database Service (Amazon RDS), Amazon Elasticsearch Service, and Amazon Neptune. We also share real-world examples of how customers built text analytics solutions with Amazon Comprehend.",Session,"Ben Snively,Nino Bice",2018-11-29 12:15:00,2018-11-29 13:15:00,Venetian,"Level 2, Venetian F, T2"
SRV372,"[REPEAT 1] Build Web Apps with GraphQL, AWS AppSync, and AWS Lambda",1,"In this session, learn how to build a data-driven, serverless web application with real-time, offline, and data-syncing capabilities. Learn to power your applications using AWS AppSync how GraphQL APIs differ from REST-based APIs. We design an application that helps you manage a list of popular tourist destinations and provides real-time-weather information. The application is hosted on Amazon S3, and AWS AppSync provides the API layer. We show you how GraphQL technology can be used to provide real-time data from multiple sources, such as Amazon DynamoDB, Lambda, and HTTP endpoints.",Chalk Talk,George Mao,2018-11-29 13:00:00,2018-11-29 14:00:00,MGM,"Level 3, South Concourse 302, T1"
ARC305,Serverless Architectural Patterns and Best Practices,-,"As serverless architectures become more popular, customers need a framework of patterns to help them identify how to leverage AWS to deploy their workloads without managing servers or operating systems. This session describes reusable serverless patterns while considering costs. For each pattern, we provide operational and security best practices and discuss potential pitfalls and nuances. We also discuss the considerations for moving an existing server-based workload to a serverless architecture. This session can help you recognize candidates for serverless architectures in your own organizations and understand areas of potential savings and increased agility.",Session,"Maitreya Ranganath,Drew Dennis",2018-11-26 15:15:00,2018-11-26 16:15:00,Venetian,"Level 2, Venetian Theatre, T2"
SRV305,[REPEAT 1] Inside AWS: Technology Choices for Modern Applications,1,"AWS offers a wide range of cloud computing services and technologies, but we rarely state opinions about which services and technologies customers should choose. When it comes to building our own services, our engineering groups have strong opinions, and they express them in the technologies they pick. Join Tim Bray, Senior Principal Engineer, to hear about the high-level choices that developers at AWS and our customers have to make. Here are a few: Are microservices always the way to go? Serverless, containers, or serverless containers? Is relational over? Is Java over? The talk is technical and based on our experience in building AWS services and working with customers on their cloud-native apps.",Session,Tim Bray,2018-11-29 14:30:00,2018-11-29 15:30:00,Aria East,"Level 2, Mariposa 5, T1"
SRV316,[REPEAT 1] Serverless Stream Processing Pipeline Best Practices,1,"Real-time analytics has traditionally been analyzed using batch processing in DWH/Hadoop environments. Common use cases use data lakes, data science, and machine learning (ML). Creating serverless data-driven architecture and serverless streaming solutions with services like Amazon Kinesis, AWS Lambda, and Amazon Athena can solve real-time ingestion, storage, and analytics challenges, and help you focus on application logic without managing infrastructure. In this session, we introduce design patterns, best practices, and share customer journeys from batch to real-time insights in building modern serverless data-driven architecture applications. Hear how Intel built the Intel Pharma Analytics Platform using a serverless architecture. This AI cloud-based offering enables remote monitoring of patients using an array of sensors, wearable devices, and ML algorithms to objectively quantify the impact of interventions and power clinical studies in various therapeutics conditions.",Session,"Roy Ben-Alta,Eyal Levi",2018-11-29 15:15:00,2018-11-29 16:15:00,MGM,"Level 3, Premier Ballroom 319, T2"
ARC320,"[REPEAT 1] Data Lake Patterns for Voice, Vision, Advanced Analytics, & ML Using Serverless",1,"Industry 4.0 demands greater insight into data to bring people, processes, and equipment together. In this workshop, we illustrate how to gain business insights from video and voice data sources, highlighting the data pipeline. We ingest source feeds, efficiently store the data, and perform advanced analytics using AWS ML services and analysis tools. Typical applications include anomaly detection (detecting spills or hazardous objects and predictive maintenance) and voice sentiment analysis (customer service insights). By the end of the session, you will be able to quickly analyze data for uncommon characteristics using those detections to initiate a wide variety of actions.",Workshop,"Greg Share,Paul Armstrong,Jagadeesh Pusapadi",2018-11-29 15:15:00,2018-11-29 17:30:00,Aria West,"Level 3, Ironwood 7, T2"
ARC324,[REPEAT 1] Architecting Next Generation Serverless SaaS Solutions on AWS,1,"The emergence of serverless infrastructure and services represents a fundamental shift in how developers approach architecting applications. This is especially relevant in the world of SaaS where systems must efficiently and cost-effectively respond to continually shifting multi-tenant loads and profiles. We’ll conduct an end-to-end review of all the elements of a serverless SaaS architecture that leverages a combination of AWS Lambda, Fargate, and Aurora Serverless. We’ll look at how serverless influence the core elements of your architecture, including tenant isolation, service decomposition, management and monitoring, deployment, and identity.",Session,Tod Golding,2018-11-27 16:00:00,2018-11-27 17:00:00,Venetian,"Level 2, Titian 2204, T1"
